player;nationality;position;team;age;matches;minutes;goals;assists;xg;tm_name_match;market_value_euro;tm_position;last_update;kpi_cost_per_goal;kpi_moneyball
Aylon;BRA;Atacante;Ceará;32;23;792;2;0;2.9;N/A;0.0;N/A;N/A;0.0;0.0
Matheus Babi;BRA;Atacante;Juventude;27;20;478;2;0;2.5;N/A;0.0;N/A;N/A;0.0;0.0
Bahia;BRA;Meio-Campista;Corinthians;19;2;49;0;0;0.2;N/A;0.0;N/A;N/A;0.0;0.0
Gabriel Bahia;BRA;Defensor;Botafogo (RJ);26;4;236;0;0;0.0;N/A;0.0;N/A;N/A;0.0;0.0
Matheus Bahia;BRA;Defensor;Ceará;25;28;2462;0;1;0.4;N/A;0.0;N/A;N/A;0.0;0.0
Fabián Balbuena;PAR;Defensor;Grêmio;33;3;225;1;0;0.1;N/A;0.0;N/A;N/A;0.0;0.0
Gabriel Baralhas;BRA;Meio-Campista;Vitória;26;28;2276;2;1;2.2;N/A;0.0;N/A;N/A;0.0;0.0
Danilo Barbosa;BRA;Defensor;Botafogo (RJ);28;3;39;0;0;0.0;N/A;0.0;N/A;N/A;0.0;0.0
Diogo Barbosa;BRA;Defensor;Fortaleza;32;19;1239;1;0;0.7;N/A;0.0;N/A;N/A;0.0;0.0
Gabriel Barbosa;BRA;Atacante;Cruzeiro;28;30;1083;6;2;5.6;N/A;0.0;N/A;N/A;0.0;0.0
Lucas Barbosa;BRA;Atacante;RB Bragantino;23;34;2330;4;3;6.0;N/A;0.0;N/A;N/A;0.0;0.0
Alexander Barboza;ARG;Defensor;Botafogo (RJ);29;24;2147;0;0;1.1;N/A;0.0;N/A;N/A;0.0;0.0
Adam Bareiro;PAR;Atacante;Fortaleza;28;21;886;7;2;6.5;N/A;0.0;N/A;N/A;0.0;0.0
Chrystian Barletta;BRA;Atacante;Sport Recife;23;34;1499;2;0;3.8;N/A;0.0;N/A;N/A;0.0;0.0
Álvaro Barreal;ARG;Atacante;Santos;24;34;2239;9;1;7.0;Álvaro Barreal;7000000.0;Ponta Esquerda;10/12/2025;777777.78;24.29
Jordan Barrera;COL;Atacante;Botafogo (RJ);18;6;307;1;0;0.9;N/A;0.0;N/A;N/A;0.0;0.0
Cauan Barros;BRA;Meio-Campista;Vasco da Gama;20;17;1340;1;0;1.3;N/A;0.0;N/A;N/A;0.0;0.0
Enmerson Batalla;COL;Atacante;Juventude;23;22;1318;4;2;1.4;N/A;0.0;N/A;N/A;0.0;0.0
Paulo Baya;BRA;Atacante;Ceará;25;15;436;0;0;0.7;N/A;0.0;N/A;N/A;0.0;0.0
Paulo Baya;BRA;Meio-Campista;Fluminense;25;4;38;1;1;0.0;N/A;0.0;N/A;N/A;0.0;0.0
José Luis Rodríguez Bebanz;URU;Defensor;Vasco da Gama;27;25;1446;2;2;1.1;N/A;0.0;N/A;N/A;0.0;0.0
Erick Belé;BRA;Meio-Campista;Palmeiras;18;2;24;0;0;0.0;N/A;0.0;N/A;N/A;0.0;0.0
Luis Benedetti;BRA;Defensor;Palmeiras;18;5;377;1;0;0.9;N/A;0.0;N/A;N/A;0.0;0.0
Alan Benítez;PAR;Defensor;Internacional;31;11;550;0;0;0.7;N/A;0.0;N/A;N/A;0.0;0.0
Alexandro Bernabei;ARG;Defensor;Internacional;24;30;2579;0;4;1.4;Alexandro Bernabei;6000000.0;Lateral Esq.;10/12/2025;0.0;9.0
Facundo Bernal;URU;Meio-Campista;Fluminense;21;22;1037;0;0;0.5;Facundo Bernal;6000000.0;Volante;10/12/2025;0.0;0.83
Bernard;BRA;Meio-Campista;Atlético Mineiro;32;30;1210;1;1;2.3;N/A;0.0;N/A;N/A;0.0;0.0
Bernardo;BRA;Defensor;Juventude;19;1;45;0;0;0.0;N/A;0.0;N/A;N/A;0.0;0.0
Matheus Bianqui;BRA;Meio-Campista;Mirassol;27;13;147;0;0;1.1;N/A;0.0;N/A;N/A;0.0;0.0
Matheus Bidu;BRA;Defensor;Corinthians;25;26;1965;0;2;1.1;N/A;0.0;N/A;N/A;0.0;0.0
Biel;BRA;Atacante;Atlético Mineiro;23;17;595;1;2;1.8;N/A;0.0;N/A;N/A;0.0;0.0
Rafael Bilu;BRA;Atacante;Juventude;25;15;688;1;0;0.6;N/A;0.0;N/A;N/A;0.0;0.0
Damián Bobadilla;PAR;Meio-Campista;São Paulo;23;31;2100;4;2;3.1;N/A;0.0;N/A;N/A;0.0;0.0
Yannick Bolasie;COD;Atacante;Cruzeiro;35;18;177;0;1;0.5;N/A;0.0;N/A;N/A;0.0;0.0
Gabriel Bontempo;BRA;Meio-Campista;Santos;20;25;997;2;1;1.7;N/A;0.0;N/A;N/A;0.0;0.0
Thiago Borbas;URU;Atacante;RB Bragantino;22;19;580;1;1;1.9;N/A;0.0;N/A;N/A;0.0;0.0
Daniel Borges;BRA;Defensor;Mirassol;31;16;904;2;2;0.4;N/A;0.0;N/A;N/A;0.0;0.0
Marllon Borges;BRA;Defensor;Ceará;32;25;2083;2;0;0.6;N/A;0.0;N/A;N/A;0.0;0.0
Pedro Borges;BRA;Meio-Campista;Fortaleza;27;1;37;0;0;0.0;N/A;0.0;N/A;N/A;0.0;0.0
Pedro Borges;BRA;Meio-Campista;Sport Recife;27;13;508;0;0;0.2;N/A;0.0;N/A;N/A;0.0;0.0
Rafael Borré;COL;Atacante;Internacional;29;30;1809;5;2;8.1;N/A;0.0;N/A;N/A;0.0;0.0
Lucas Braga;BRA;Atacante;Vitória;28;21;968;1;0;1.9;N/A;0.0;N/A;N/A;0.0;0.0
Bilal Brahimi;ALG;Atacante;Santos;24;1;21;0;0;0.0;N/A;0.0;N/A;N/A;0.0;0.0
Martin Braithwaite;DEN;Atacante;Grêmio;33;18;1456;6;1;6.1;N/A;0.0;N/A;N/A;0.0;0.0
Gabriel Brazão;BRA;Goleiro;Santos;24;38;3397;0;0;0.0;Gabriel Brazão;11000000.0;Goleiro;10/12/2025;0.0;0.0
Brenno;BRA;Goleiro;Fortaleza;25;15;1350;0;0;0.0;N/A;0.0;N/A;N/A;0.0;0.0
Breno;BRA;Atacante;Fortaleza;29;32;2280;6;3;5.4;N/A;0.0;N/A;N/A;0.0;0.0
Breno;BRA;Meio-Campista;Corinthians;19;33;2522;1;1;0.9;N/A;0.0;N/A;N/A;0.0;0.0
Emanuel Brítez;ARG;Defensor;Fortaleza;32;18;1597;0;1;0.5;N/A;0.0;N/A;N/A;0.0;0.0
