player;nationality;position;team;age;matches;minutes;goals;assists;xg
Kauê;BRA;Goleiro;Corinthians;20;1;90;0;0;0.0
Kayke;BRA;Atacante;Fortaleza;18;2;31;0;0;0.2
Kayke;BRA;Atacante;Corinthians;20;8;358;0;1;0.4
Renato Kayser;BRA;Atacante;Vitória;28;30;2083;9;0;8.2
Kenji;BRA;Atacante;Cruzeiro;19;3;39;0;0;0.1
John Kennedy;BRA;Atacante;Fluminense;22;17;626;2;1;2.2
Keno;BRA;Atacante;Fluminense;35;18;509;1;2;1.3
Kevyson;BRA;Defensor;Santos;20;1;16;0;0;0.0
Kevyson;BRA;Defensor;Sport Recife;20;9;268;0;0;0.0
Khellven;BRA;Defensor;Palmeiras;23;13;975;0;2;0.1
Gabriel Knesowitsch;BRA;Defensor;Mirassol;21;4;360;0;0;0.5
Benjamín Kuscevic;CHI;Defensor;Fortaleza;28;20;1707;1;0;1.3
Derik Lacerda;BRA;Atacante;Sport Recife;25;17;1446;6;0;7.3
Ignacio Laquintana;URU;Atacante;RB Bragantino;25;23;1017;4;3;1.6
Larson;BRA;Meio-Campista;Palmeiras;19;2;73;0;0;0.0
Joaquín Lavega;URU;Atacante;Fluminense;19;2;67;0;0;0.1
Leandrinho;BRA;Defensor;Vasco da Gama;19;2;57;0;0;0.0
Helton Leite;BRA;Goleiro;Fortaleza;34;4;360;0;0;0.0
Lelê;BRA;Atacante;Ceará;27;7;110;0;0;0.7
Mauricio Lemos;URU;Defensor;Vasco da Gama;29;4;243;0;0;0.0
Rubén Lezcano;PAR;Meio-Campista;Fluminense;20;4;57;0;0;0.1
Lima;BRA;Meio-Campista;Fluminense;28;28;1094;2;1;2.5
Lucas Lima;BRA;Meio-Campista;Ceará;24;11;127;0;0;0.1
Lucas Lima;BRA;Meio-Campista;Sport Recife;34;33;2550;3;7;2.7
Leonardo Linck;BRA;Goleiro;Botafogo (RJ);23;17;1486;0;0;0.0
Kauan Lindes;BRA;Meio-Campista;Botafogo (RJ);21;1;31;0;0;0.0
Samuel Lino;BRA;Atacante;Flamengo;25;21;1394;4;5;3.8
Lenny Lobato;BRA;Atacante;Sport Recife;23;7;244;0;0;0.4
David Loiola;BRA;Defensor;Botafogo (RJ);22;22;1830;1;1;1.0
Marcelo Lomba;BRA;Goleiro;Palmeiras;38;3;270;0;0;0.0
Felipe Longo;BRA;Goleiro;Corinthians;19;6;540;0;0;0.0
Renzo López;URU;Atacante;Vitória;30;23;651;1;0;2.5
Lourenço;BRA;Meio-Campista;Ceará;27;33;1386;2;1;1.9
Lucão;BRA;Goleiro;RB Bragantino;23;4;360;0;0;0.0
Ayrton Lucas;BRA;Defensor;Flamengo;27;18;1231;2;0;1.4
Jean Lucas;BRA;Meio-Campista;Bahia;26;34;2674;3;1;3.9
João Lucas;BRA;Defensor;Grêmio;26;10;506;0;0;0.1
Zé Lucas;BRA;Meio-Campista;Sport Recife;16;24;1596;0;0;1.1
Luciano;BRA;Atacante;São Paulo;31;32;2105;9;4;10.9
Lucio;BRA;Meio-Campista;Flamengo;17;1;68;0;0;0.0
Luighi;BRA;Atacante;Palmeiras;18;11;339;1;0;2.2
Victor Luis;BRA;Defensor;Vasco da Gama;31;7;273;0;0;0.1
Luisão;BRA;Defensor;Santos;21;6;438;0;0;0.1
David Luiz;BRA;Defensor;Fortaleza;37;7;399;0;0;0.2
Guilherme Luiz;BRA;Atacante;Ceará;19;7;148;0;1;0.2
Lyanco;BRA;Defensor;Atlético Mineiro;27;17;1410;0;0;0.6
Everton Maceió;BRA;Atacante;Mirassol;21;6;147;0;0;0.1
Willian Machado;BRA;Defensor;Ceará;28;36;3219;0;1;0.8
Talles Magno;BRA;Atacante;Corinthians;22;24;961;1;1;5.4
Magrão;BRA;Goleiro;Fortaleza;24;3;270;0;0;0.0
Gustavo Maia;BRA;Atacante;Sport Recife;24;1;17;0;0;0.0
Pablo Maia;BRA;Meio-Campista;São Paulo;23;25;1471;1;0;0.4
Thiago Maia;BRA;Meio-Campista;Internacional;27;31;1980;2;1;1.5
Maik;BRA;Defensor;São Paulo;20;9;607;2;2;0.2
Léo Mana;BRA;Defensor;Corinthians;20;4;225;0;0;0.0
Gustavo Mancha;BRA;Defensor;Fortaleza;20;13;1029;0;0;0.2
Eros Mancuso;ARG;Defensor;Fortaleza;25;30;2377;1;3;2.1
Luis Mandaca;BRA;Meio-Campista;Juventude;23;32;2445;2;1;3.3
Manoel;BRA;Defensor;Fluminense;34;5;345;0;0;0.2
Elias Manoel;BRA;Meio-Campista;Botafogo (RJ);23;2;27;0;0;0.0
José Manuel López;ARG;Atacante;Palmeiras;24;33;1999;12;2;12.1
Fernando Marçal;BRA;Defensor;Botafogo (RJ);35;15;1009;5;0;1.3
Marcão;BRA;Goleiro;Juventude;32;6;495;0;0;0.0
João Marcelo;BRA;Defensor;Cruzeiro;24;4;226;0;0;0.0
João Marcelo;BRA;Atacante;Atlético Mineiro;19;7;68;1;1;0.6
Zé Marcos;BRA;Defensor;Vitória;26;28;2426;1;1;2.3
Marinho;BRA;Atacante;Fortaleza;34;17;710;1;2;2.4
Marlon;BRA;Defensor;Cruzeiro;27;1;6;0;0;0.0
Marlon;BRA;Meio-Campista;Juventude;20;1;8;0;0;0.0
Marlon;BRA;Defensor;Grêmio;27;31;2765;1;2;1.3
Gustavo Marques;BRA;Defensor;RB Bragantino;23;14;900;1;0;0.8
Igor Marques;BRA;Defensor;Juventude;26;19;1424;2;2;0.5
Lucca Marques;BRA;Defensor;São Paulo;17;8;318;0;0;0.1
Renato Marques;BRA;Atacante;Mirassol;21;7;261;1;0;1.2
Marquinhos;BRA;Atacante;Cruzeiro;21;17;384;0;0;0.5
Marquinhos;BRA;Meio-Campista;Botafogo (RJ);17;1;2;0;0;0.0
Juan Martín Lucero;ARG;Atacante;Fortaleza;33;27;1409;3;1;5.1
Martinelli;BRA;Meio-Campista;Fluminense;23;33;2721;3;2;2.3
Alejandro Martínez;ARG;Atacante;Ceará;27;2;49;0;1;0.0
Emiliano Martínez;URU;Meio-Campista;Palmeiras;25;25;1516;1;0;0.8
Adriano Martins;BRA;Defensor;Juventude;27;5;360;0;0;0.2
Andre Martins;BRA;Atacante;Grêmio;23;25;793;5;2;4.0
Matheus Martins;BRA;Atacante;Botafogo (RJ);21;15;654;1;0;1.5
Gustavo Martins Santos;BRA;Defensor;Grêmio;22;19;1320;2;0;1.4
Gonzalo Mastriani;URU;Atacante;Botafogo (RJ);31;12;288;1;0;1.7
Matheusinho;BRA;Meio-Campista;Vitória;27;29;1768;4;1;4.9
Matheusinho;BRA;Atacante;Sport Recife;26;25;1653;2;2;2.7
Matheuzinho;BRA;Defensor;Corinthians;24;31;2632;2;3;1.2
Ricardo Mathias;BRA;Atacante;Internacional;18;22;809;5;1;4.9
Guillermo Matías Fernández;ARG;Meio-Campista;Fortaleza;33;7;286;0;2;0.4
Mauricio;BRA;Meio-Campista;Palmeiras;23;29;1598;3;7;4.1
Maycon;BRA;Meio-Campista;Corinthians;27;25;1491;3;0;1.5
Mayke;BRA;Defensor;Santos;32;12;821;0;0;0.1
Mayke;BRA;Defensor;Palmeiras;32;3;211;0;0;0.1
Luca Meirelles;BRA;Atacante;Santos;17;7;89;0;0;0.2
Arthur Melo;BRA;Meio-Campista;Grêmio;28;13;1082;0;0;0.7
Memphis;NED;Atacante;Corinthians;30;23;1544;6;3;6.5
Nathan Mendes;BRA;Defensor;RB Bragantino;22;19;1158;0;1;0.1
Thiago Mendes;BRA;Meio-Campista;Vasco da Gama;32;8;300;0;0;0.0
Vinicius Mendonça;BRA;Atacante;RB Bragantino;20;23;1039;0;3;0.9
Jean Meneses;CHI;Atacante;Vasco da Gama;31;1;1;0;0;0.0
Ramon Menezes Roma;BRA;Defensor;Sport Recife;29;23;1876;1;0;1.2
Gabriel Menino;BRA;Meio-Campista;Atlético Mineiro;24;23;889;1;1;0.9
Gabriel Mercado;ARG;Defensor;Internacional;37;14;1195;1;0;0.7
Micael;BRA;Defensor;Palmeiras;24;16;1295;0;1;0.3
Michael;BRA;Atacante;Flamengo;28;15;621;1;3;2.1
Carlos Miguel;BRA;Goleiro;Palmeiras;26;9;810;0;0;0.0
Fernando Miguel;BRA;Goleiro;Ceará;39;8;657;0;0;0.0
Moises;BRA;Atacante;Fortaleza;28;12;385;0;1;0.9
Miguel Monsalve;COL;Atacante;Grêmio;20;9;297;0;1;0.2
Álvaro Montoro;ARG;Atacante;Botafogo (RJ);17;16;936;3;3;2.2
Kauã Moraes;BRA;Defensor;Cruzeiro;18;5;197;0;0;0.0
Aníbal Moreno;ARG;Meio-Campista;Palmeiras;25;28;1805;0;1;0.6
Santiago Moreno;COL;Atacante;Fluminense;24;5;154;0;0;0.0
Henry Mosquera;COL;Atacante;RB Bragantino;23;17;771;0;0;1.3
Gustavo Mosquito;BRA;Atacante;Vitória;27;10;480;0;2;0.4
Hugo Moura;BRA;Meio-Campista;Vasco da Gama;27;33;2411;0;1;0.6
Lucas Moura;BRA;Atacante;São Paulo;32;11;451;2;0;1.5
Neto Moura;BRA;Meio-Campista;Mirassol;28;34;2428;1;0;0.3
Lucas Mugni;ARG;Meio-Campista;Ceará;33;33;1714;2;6;2.0
Alex Muralha;BRA;Goleiro;Mirassol;35;7;630;0;0;0.0
Bruno Nascimento;BRA;Atacante;Palmeiras;27;10;341;2;0;0.8
Nata;BRA;Defensor;Juventude;23;2;94;0;0;0.0
Natanael;BRA;Defensor;Atlético Mineiro;23;34;2142;1;0;0.6
Nathan;BRA;Defensor;Internacional;23;1;90;0;0;0.1
Nathan;BRA;Meio-Campista;Grêmio;28;2;90;0;0;0.1
Kaiky Naves;BRA;Defensor;Palmeiras;22;1;19;0;0;0.0
Gui Negão;BRA;Atacante;Corinthians;17;22;945;3;1;2.6
Felipe Negrucci;BRA;Defensor;São Paulo;20;5;226;0;0;0.0
Negueba;BRA;Atacante;Mirassol;25;33;2157;7;3;4.1
Edison Negueba;BRA;Atacante;Juventude;24;5;107;1;0;1.0
Nenê;BRA;Atacante;Juventude;43;25;1009;3;4;3.3
Neris;BRA;Defensor;Vitória;32;10;534;0;0;0.3
Rodrigo Nestor;BRA;Meio-Campista;Bahia;24;22;875;5;0;1.2
Neto;BRA;Goleiro;Botafogo (RJ);35;3;224;0;0;0.0
José Vitor Silva Neves;BRA;Atacante;Mirassol;24;2;25;0;0;0.0
Newton;BRA;Meio-Campista;Botafogo (RJ);24;25;1494;1;0;0.5
Neymar;BRA;Atacante;Santos;32;20;1528;8;1;8.6
Nicolas;BRA;Defensor;Ceará;27;13;593;0;0;0.1
Nicolas;BRA;Defensor;São Paulo;17;1;45;0;0;0.0
Saúl Ñíguez;ESP;Meio-Campista;Flamengo;30;16;1156;0;2;1.3
Nonato;BRA;Meio-Campista;Fluminense;26;20;914;2;1;0.7
Erick Noriega;PER;Defensor;Grêmio;23;14;1184;0;0;0.4
Lucas Oliveira;BRA;Defensor;Vasco da Gama;28;8;259;0;0;0.0
Sérgio Oliveira;POR;Meio-Campista;Sport Recife;32;19;997;1;1;1.1
Cauly Oliveira Souza;BRA;Atacante;Bahia;29;29;910;1;3;2.7
Cristian Olivera;URU;Atacante;Grêmio;22;22;1285;2;0;2.5
Christian Ortiz;ARG;Meio-Campista;Sport Recife;32;6;178;0;0;0.2
Leo Ortiz;BRA;Defensor;Flamengo;29;26;2203;1;2;1.4
Oscar;BRA;Atacante;São Paulo;33;6;345;0;0;0.6
Osvaldo;BRA;Atacante;Vitória;37;27;996;0;2;1.3
Otávio;BRA;Meio-Campista;Fluminense;30;6;217;0;0;0.0
Luis Otávio;BRA;Meio-Campista;Internacional;17;20;770;0;0;0.4
Luiz Otávio;BRA;Defensor;Mirassol;32;5;165;0;0;0.0
João Othavio Basso;BRA;Defensor;Santos;28;6;518;1;0;0.2
Pablo;BRA;Defensor;Internacional;18;1;20;0;0;0.0
Pablo;BRA;Atacante;Sport Recife;32;21;1055;3;1;2.3
Ruan Pablo;BRA;Atacante;Bahia;16;5;51;0;0;0.4
Bruno Pacheco;BRA;Defensor;Fortaleza;33;15;1261;1;1;0.2
Luis Pacheco;BRA;Meio-Campista;Palmeiras;16;2;18;0;0;0.0
Gonçalo Paciência;POR;Atacante;Sport Recife;30;6;196;0;0;0.6
Brahian Palacios;COL;Meio-Campista;Atlético Mineiro;22;1;8;0;0;0.0
Sergio Palacios;COL;Defensor;RB Bragantino;19;2;71;0;0;0.0
Kaio Pantaleão;BRA;Defensor;Botafogo (RJ);29;11;933;0;0;0.6
Rayan Passaglia Lelis;BRA;Atacante;Cruzeiro;18;1;64;0;0;0.1
Alan Patrick;BRA;Meio-Campista;Internacional;33;30;2506;11;7;9.8
Patryck;BRA;Defensor;São Paulo;22;5;309;0;0;0.3
Patrick de Paula;BRA;Meio-Campista;Botafogo (RJ);25;6;284;0;0;0.1
Paulinho;BRA;Meio-Campista;Vasco da Gama;28;11;310;0;0;0.0
Paulinho;BRA;Meio-Campista;Palmeiras;24;7;224;0;0;0.2
Caio Paulista;BRA;Defensor;Atlético Mineiro;26;20;885;0;0;0.8
Marcos Paulo;BRA;Defensor;Juventude;22;19;1367;0;0;0.3
Cristian Pavón;ARG;Atacante;Grêmio;29;28;1373;0;7;1.3
Dimitri Payet;FRA;Meio-Campista;Vasco da Gama;37;4;191;0;2;0.1
Pedrinho;BRA;Meio-Campista;São Paulo;17;2;26;0;0;0.0
Pedro;BRA;Atacante;Flamengo;27;21;1047;12;6;8.6
João Pedro Chermont;BRA;Defensor;Santos;19;5;249;0;0;0.1
João Pedro;BRA;Defensor;Corinthians;21;16;1242;0;1;0.8
João Pedro;BRA;Defensor;Grêmio;28;7;454;0;0;0.1
João Pedro Pepê;BRA;Meio-Campista;Vitória;27;14;654;0;0;0.1
Peixoto;BRA;Meio-Campista;Juventude;27;13;733;1;0;0.6
Andreas Pereira;BRA;Meio-Campista;Palmeiras;29;15;1005;2;0;0.8
Léo Pereira;BRA;Defensor;Flamengo;29;34;2953;4;0;2.8
Matheus Pereira;BRA;Meio-Campista;Cruzeiro;28;34;2793;7;7;5.1
Luan Peres Petroni;BRA;Defensor;Santos;30;24;2051;0;0;0.3
Pernambuco;BRA;Atacante;Juventude;26;3;57;0;0;0.2
Petterson;BRA;Meio-Campista;Juventude;21;2;80;0;0;0.1
Pierre;BRA;Meio-Campista;Fortaleza;22;13;839;0;0;0.1
Yago Pikachu;BRA;Atacante;Fortaleza;32;31;1389;2;1;3.2
Joaquín Piquerez;URU;Defensor;Palmeiras;26;30;2456;3;1;3.2
Rafael Pires;BRA;Goleiro;São Paulo;35;35;3150;0;0;0.0
Lucas Piton;BRA;Defensor;Vasco da Gama;24;30;2545;1;7;0.7
Isidro Pitta;PAR;Atacante;RB Bragantino;25;24;1093;7;2;2.5
Diego Pituca;BRA;Meio-Campista;Santos;32;10;392;1;0;0.3
Gonzalo Plata;ECU;Atacante;Flamengo;24;28;1350;4;1;3.1
Tomas Pochettino;ARG;Meio-Campista;Fortaleza;28;26;1537;3;4;2.2
Mateo Ponte;URU;Defensor;Botafogo (RJ);21;21;676;2;0;1.6
Gustavo Prado;BRA;Meio-Campista;Internacional;19;18;559;1;0;0.7
Kauã Prates;BRA;Defensor;Cruzeiro;16;8;341;0;0;0.0
Bruno Praxedes;BRA;Meio-Campista;RB Bragantino;22;15;400;0;0;0.6
Lucca Prior;BRA;Meio-Campista;Fortaleza;20;12;656;2;0;0.6
Erick Pulga;BRA;Atacante;Bahia;24;24;1687;3;3;6.0
Erick Pulgar;CHI;Meio-Campista;Flamengo;31;17;1240;1;0;0.3
Du Queiroz;BRA;Meio-Campista;Sport Recife;25;11;615;0;0;0.5
Igor Rabello;BRA;Defensor;Atlético Mineiro;29;4;189;0;0;0.2
Igor Rabello;BRA;Defensor;Fluminense;29;4;144;0;0;0.0
Zé Rafael;BRA;Meio-Campista;Santos;31;27;1854;1;0;2.2
Rafinha;BRA;Defensor;Sport Recife;18;1;45;0;0;0.0
André Ramalho;BRA;Defensor;Corinthians;32;21;1780;0;0;0.6
Eric Ramires;BRA;Meio-Campista;RB Bragantino;24;31;1786;2;1;2.9
Ramon;BRA;Defensor;Vitória;23;18;1620;0;0;0.4
Ramon;BRA;Defensor;Internacional;23;5;329;0;0;0.1
Lucas Ramon;BRA;Defensor;Mirassol;30;31;2604;2;3;2.8
Chris Ramos;ESP;Atacante;Botafogo (RJ);28;13;718;4;0;3.6
Santi Ramos Mingo;ARG;Defensor;Bahia;23;33;2926;0;0;1.6
Rafael Ramos;POR;Defensor;Ceará;30;20;904;0;0;0.1
Raniele;BRA;Meio-Campista;Corinthians;28;30;2013;2;1;2.1
Wellington Rato;BRA;Atacante;Vitória;32;5;212;1;0;0.2
Pedro Raul;BRA;Atacante;Ceará;28;34;2896;11;1;11.6
Raykkonen;BRA;Atacante;Internacional;16;7;124;0;0;0.1
Reginaldo;BRA;Defensor;Juventude;31;18;1170;0;2;0.1
Reinaldo;BRA;Defensor;Mirassol;35;34;2892;13;6;8.4
Reinier;BRA;Meio-Campista;Atlético Mineiro;23;13;333;0;0;0.6
Robert Renan;BRA;Defensor;Vasco da Gama;21;15;1287;0;0;0.4
Cristian Renato;BRA;Atacante;Mirassol;24;32;1351;5;3;5.4
Renê;BRA;Defensor;Fluminense;32;28;2362;2;0;0.6
Rezende;BRA;Meio-Campista;Bahia;30;11;580;0;0;0.0
Murilo Rhikman;BRA;Meio-Campista;Cruzeiro;18;2;8;0;0;0.0
Everton Ribeiro;BRA;Meio-Campista;Bahia;35;31;1925;2;4;2.4
Ricardo;BRA;Meio-Campista;Vitória;30;20;882;0;0;1.0
João Ricardo Riedi;BRA;Goleiro;Fortaleza;36;14;1260;0;0;0.0
Richard;BRA;Meio-Campista;Internacional;30;7;275;0;0;0.0
Richardson;BRA;Meio-Campista;Ceará;33;16;790;0;0;0.1
Charles Rigon Matos;BRA;Meio-Campista;Corinthians;28;17;571;1;0;0.6
Emiliano Rigoni;ARG;Atacante;São Paulo;31;10;294;1;0;1.2
Tomás Rincón;VEN;Meio-Campista;Santos;37;17;922;0;0;0.4
Richard Ríos;COL;Meio-Campista;Palmeiras;24;10;733;0;2;0.6
Riquelme;BRA;Atacante;Fluminense;17;6;99;0;0;0.1
Riquelme;BRA;Defensor;Sport Recife;18;2;23;0;0;0.0
Christian Rivera;COL;Meio-Campista;Sport Recife;29;33;2729;0;0;0.3
Pablo Roberto;BRA;Meio-Campista;Fortaleza;25;5;116;0;0;0.0
Paulo Roberto;BRA;Defensor;Vitória;19;2;96;0;0;0.0
Marcos Rocha;BRA;Defensor;Palmeiras;36;1;90;0;0;0.1
Marcos Rocha;BRA;Defensor;Grêmio;36;12;959;0;0;0.2
Sergio Rochet;URU;Goleiro;Internacional;31;15;1305;0;0;0.0
Rodrigo;BRA;Meio-Campista;São Paulo;20;18;724;0;0;1.2
Alisson Rodrigues;BRA;Meio-Campista;Internacional;16;1;26;0;0;0.0
Ruben Rodrigues;POR;Meio-Campista;Vitória;28;4;26;0;0;0.1
Alan Rodríguez;URU;Meio-Campista;Internacional;25;15;943;0;1;0.6
Guzmán Rodríguez;URU;Defensor;RB Bragantino;24;23;2051;1;0;1.0
Luciano Rodríguez;URU;Atacante;Bahia;21;18;791;2;0;2.9
Santiago Rodríguez;URU;Atacante;Botafogo (RJ);25;26;1328;2;5;1.6
Rodriguinho;BRA;Atacante;Cruzeiro;21;1;15;0;0;0.0
Rodriguinho;BRA;Atacante;Ceará;21;4;33;0;0;0.1
Agustín Rogel;URU;Defensor;Internacional;27;5;450;0;0;0.1
Benjamín Rollheiser;ARG;Meio-Campista;Santos;24;36;2212;2;3;3.7
Iván Román;CHI;Defensor;Atlético Mineiro;18;12;701;0;0;0.5
Romarinho;BRA;Meio-Campista;Vitória;34;5;124;0;0;0.3
Romarinho;BRA;Atacante;Sport Recife;30;26;912;2;0;1.1
Ángel Romero;PAR;Atacante;Corinthians;32;27;1068;0;1;3.1
Lucas Romero;ARG;Meio-Campista;Cruzeiro;30;33;2832;1;3;0.5
Óscar Romero;PAR;Meio-Campista;Internacional;32;17;505;0;1;0.3
Romulo;BRA;Meio-Campista;Ceará;23;9;133;0;0;0.2
Rômulo;BRA;Defensor;Atlético Mineiro;21;3;209;0;0;0.0
Ronald;BRA;Meio-Campista;Vitória;27;29;1871;0;2;0.4
Ronald;BRA;Defensor;Grêmio;21;6;233;0;0;0.0
Ronaldo;BRA;Goleiro;Bahia;28;28;2448;0;1;0.0
Ronaldo;BRA;Meio-Campista;Internacional;28;15;774;0;0;0.5
Budiga Roni;BRA;Meio-Campista;Mirassol;25;9;150;0;0;0.0
Rony;BRA;Atacante;Atlético Mineiro;29;35;2500;6;5;9.5
Vitor Roque;BRA;Atacante;Palmeiras;19;33;2117;16;3;12.9
Diego Rosa;BRA;Meio-Campista;Internacional;22;7;199;0;0;0.0
Matheus Rossetto;BRA;Meio-Campista;Fortaleza;28;20;924;0;0;0.0
Agustín Rossi;ARG;Goleiro;Flamengo;29;37;3330;0;0;0.0
Ruan;BRA;Defensor;Atlético Mineiro;25;11;811;1;0;0.2
Ruan;BRA;Defensor;São Paulo;25;5;361;0;0;0.0
Rubens;BRA;Meio-Campista;Atlético Mineiro;23;13;1033;1;0;1.5
Alan Ruschel;BRA;Defensor;Juventude;35;21;1230;0;0;0.0
Rwan;BRA;Atacante;Botafogo (RJ);23;5;176;0;0;0.3
José Sabino;BRA;Defensor;São Paulo;28;30;2299;2;0;1.6
Daniel Sales;BRA;Defensor;Flamengo;18;1;68;0;0;0.1
Rodrigo Sam;BRA;Defensor;Juventude;29;18;1457;1;0;0.9
Mateo Sanabria;ARG;Atacante;Bahia;20;10;569;1;0;0.7
Alex Sandro;BRA;Defensor;Flamengo;34;20;1544;0;0;0.2
Agustín Sant'Anna;URU;Defensor;RB Bragantino;27;11;523;0;0;0.7
Alex Santana;BRA;Meio-Campista;Corinthians;29;3;106;0;0;0.1
Alex Santana;BRA;Meio-Campista;Grêmio;29;8;389;0;0;0.7
Ademir Santos;BRA;Atacante;Bahia;29;30;1971;2;6;5.0
Eduardo Santos;BRA;Defensor;RB Bragantino;27;8;319;0;0;0.0
Júnior Santos;BRA;Atacante;Atlético Mineiro;30;16;361;2;0;2.1
Rodrigo Santos;BRA;Meio-Campista;Fortaleza;24;8;225;0;0;0.1
Renzo Saravia;ARG;Defensor;Atlético Mineiro;31;19;1065;0;0;0.2
Eduardo Sasha;BRA;Atacante;RB Bragantino;32;33;2246;8;3;9.9
Lucas Sasha;BRA;Meio-Campista;Fortaleza;34;31;2612;1;0;0.7
Jefferson Savarino;VEN;Meio-Campista;Botafogo (RJ);28;27;1917;4;3;4.2
Kike Saverio;ESP;Meio-Campista;Vitória;25;2;33;0;0;0.0
Gustavo Scarpa;BRA;Meio-Campista;Atlético Mineiro;31;36;2302;1;3;2.2
João Scatolin;BRA;Atacante;Juventude;16;1;25;0;0;0.0
João Schmidt;BRA;Meio-Campista;Santos;31;31;2153;2;2;1.5
Davi Schuindt;BRA;Defensor;Fluminense;20;2;180;0;0;0.1
Cleiton Schwengber;BRA;Goleiro;RB Bragantino;27;34;3060;0;0;0.0
Paulo Sérgio;BRA;Defensor;São Paulo;19;3;26;0;0;0.0
Kevin Serna;COL;Atacante;Fluminense;27;33;2086;7;5;7.1
Igor Serrote;BRA;Defensor;Grêmio;19;7;512;0;0;0.1
Juan Sforza;ARG;Meio-Campista;Vasco da Gama;22;2;71;0;0;0.0
Juan Sforza;ARG;Meio-Campista;Juventude;22;8;272;0;0;0.1
Shaylon;BRA;Meio-Campista;Mirassol;27;13;439;0;0;1.0
Aderlan Silva;BRA;Defensor;Santos;34;2;87;0;0;0.0
Aderlan Silva;BRA;Defensor;Sport Recife;34;14;920;0;0;0.1
André Silva;BRA;Atacante;São Paulo;27;20;1357;5;2;4.5
João Silva;POR;Defensor;Sport Recife;26;14;990;0;0;0.2
Luan Silva;BRA;Meio-Campista;São Paulo;25;6;173;0;0;0.7
Lucas Silva;BRA;Meio-Campista;Cruzeiro;31;34;2751;2;2;0.9
Matheus Pereira da Silva;BRA;Meio-Campista;Fortaleza;26;19;1285;1;3;0.7
Patrick Silva;BRA;Meio-Campista;Atlético Mineiro;20;3;224;0;0;0.0
Thiago Silva;BRA;Defensor;Fluminense;40;25;2157;2;0;1.5
Vinicius Silvestre;BRA;Goleiro;Fortaleza;30;2;180;0;0;0.0
Luis Sinisterra;COL;Atacante;Cruzeiro;25;11;326;2;1;0.6
Cédric Soares;POR;Defensor;São Paulo;33;25;1889;0;3;0.3
Everton Soares;BRA;Atacante;Flamengo;28;23;874;1;3;2.1
Tiquinho Soares;BRA;Atacante;Santos;34;27;1252;2;3;4.0
Fernando Sobral;BRA;Meio-Campista;Ceará;30;30;1504;1;0;0.4
Ramón Sosa;PAR;Atacante;Palmeiras;25;23;876;3;3;3.1
Yeferson Soteldo;VEN;Atacante;Santos;27;5;326;0;0;0.2
Yeferson Soteldo;VEN;Atacante;Fluminense;27;17;496;2;2;1.2
Souza;BRA;Defensor;Santos;18;24;1639;1;2;1.0
Fabiano Souza;BRA;Defensor;Ceará;24;34;2907;0;1;0.3
Gabriel Souza;BRA;Atacante;Vasco da Gama;20;12;136;2;0;0.8
Hugo Souza;BRA;Goleiro;Corinthians;26;26;2340;0;0;0.0
Igor Vinícius de Souza;BRA;Defensor;São Paulo;27;3;164;0;0;0.2
Igor Vinícius de Souza;BRA;Defensor;Santos;27;20;1302;0;2;0.5
Raul Steffens;BRA;Goleiro;Botafogo (RJ);27;2;180;0;0;0.0
Everaldo Stum;BRA;Atacante;Fluminense;33;28;1352;2;0;4.1
Bruno Tabata;BRA;Atacante;Internacional;27;24;1073;3;0;3.1
Gabriel Taliari;BRA;Atacante;Juventude;27;34;2296;8;4;7.1
Gonzalo Tapia;CHI;Atacante;São Paulo;22;20;1117;5;0;4.7
Tchê Tchê;BRA;Meio-Campista;Vasco da Gama;32;29;2000;1;0;0.5
Alex Teixeira;BRA;Meio-Campista;Vasco da Gama;35;9;118;0;0;0.3
Alex Telles;BRA;Defensor;Botafogo (RJ);32;27;1690;5;4;3.9
Douglas Telles;BRA;Atacante;Flamengo;17;2;84;2;0;0.7
Thaciano;BRA;Atacante;Santos;29;19;614;3;0;1.8
Thalys;BRA;Meio-Campista;Palmeiras;19;2;88;0;0;0.0
Thiago;BRA;Goleiro;Vitória;25;9;785;0;0;0.0
Rafael Thyere;BRA;Defensor;Sport Recife;31;24;2106;1;0;1.2
Tiago;BRA;Atacante;Bahia;19;25;902;3;2;4.7
Guilherme Tinga;BRA;Defensor;Fortaleza;31;11;752;1;0;0.2
Titi;BRA;Defensor;Fortaleza;36;3;269;0;0;0.0
Kauan Toledo;BRA;Defensor;Botafogo (RJ);18;2;7;0;1;0.0
Rafael Tolói;ITA;Defensor;São Paulo;34;7;499;0;0;0.0
Félix Torres Caicedo;ECU;Defensor;Corinthians;28;10;647;0;0;0.2
Facundo Torres;URU;Atacante;Palmeiras;24;29;1665;6;3;4.1
Bruno Tubarão;BRA;Atacante;Ceará;29;7;100;0;0;0.1
Enner Valencia;ECU;Atacante;Internacional;35;14;628;1;0;2.4
Vanderlan;BRA;Defensor;Palmeiras;22;3;198;0;0;0.0
Vanderlan;BRA;Defensor;RB Bragantino;22;14;1055;0;1;0.1
Guillermo Varela;URU;Defensor;Flamengo;31;20;1325;0;4;0.5
Pablo Vegetti;ARG;Atacante;Vasco da Gama;36;35;2335;14;1;12.7
Raphael Veiga;BRA;Meio-Campista;Palmeiras;29;25;1067;2;4;2.2
Fausto Vera;ARG;Meio-Campista;Atlético Mineiro;24;18;1127;1;0;0.6
Gabriel Veron;BRA;Atacante;Santos;22;6;122;0;0;0.2
