player;nationality;position;team;age;matches;minutes;goals;assists;xg
Matheus Bidu;BRA;Defensor;Corinthians;25;26;1965;0;2;1.1
Biel;BRA;Atacante;Atlético Mineiro;23;17;595;1;2;1.8
Rafael Bilu;BRA;Atacante;Juventude;25;15;688;1;0;0.6
Damián Bobadilla;PAR;Meio-Campista;São Paulo;23;31;2100;4;2;3.1
Yannick Bolasie;COD;Atacante;Cruzeiro;35;18;177;0;1;0.5
Gabriel Bontempo;BRA;Meio-Campista;Santos;20;25;997;2;1;1.7
Thiago Borbas;URU;Atacante;RB Bragantino;22;19;580;1;1;1.9
Daniel Borges;BRA;Defensor;Mirassol;31;16;904;2;2;0.4
Marllon Borges;BRA;Defensor;Ceará;32;25;2083;2;0;0.6
Pedro Borges;BRA;Meio-Campista;Fortaleza;27;1;37;0;0;0.0
Pedro Borges;BRA;Meio-Campista;Sport Recife;27;13;508;0;0;0.2
Rafael Borré;COL;Atacante;Internacional;29;30;1809;5;2;8.1
Lucas Braga;BRA;Atacante;Vitória;28;21;968;1;0;1.9
Bilal Brahimi;ALG;Atacante;Santos;24;1;21;0;0;0.0
Martin Braithwaite;DEN;Atacante;Grêmio;33;18;1456;6;1;6.1
Gabriel Brazão;BRA;Goleiro;Santos;24;38;3397;0;0;0.0
Brenno;BRA;Goleiro;Fortaleza;25;15;1350;0;0;0.0
Breno;BRA;Atacante;Fortaleza;29;32;2280;6;3;5.4
Breno;BRA;Meio-Campista;Corinthians;19;33;2522;1;1;0.9
Emanuel Brítez;ARG;Defensor;Fortaleza;32;18;1597;0;1;0.5
Bruninho;BRA;Meio-Campista;Fortaleza;19;1;68;0;0;0.0
Fabrício Bruno;BRA;Defensor;Cruzeiro;28;33;2950;3;0;1.3
Gustavo Caballero;PAR;Atacante;Santos;23;12;332;1;1;1.0
Arthur Cabral;BRA;Atacante;Botafogo (RJ);26;21;1439;4;2;5.1
Cacá;BRA;Defensor;Corinthians;25;18;1408;2;0;1.1
